source_key,name,country,primary_language,source_type,status,priority,website_url,metadata_json
phase1-rss-001,China Digital Times,China,en,news,active,critical,https://chinadigitaltimes.net/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Independent overseas media/research"",""orientation"":""Independent / critical of CCP censorship"",""language_english"":""English/Chinese / EN: Yes"",""official_status"":""No"",""topics"":[""Censorship"",""propaganda"",""politics"",""social media""],""youtube_url"":null,""value_access_notes"":""High-value Chinese state, commercial, business, technology, cyber, or independent monitoring source. Blocked in mainland China."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-002,China Media Project,China,en,news,active,critical,https://chinamediaproject.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""inventory_sections"":[""Think Tanks, Research Institutes & Universities""],""organization_type"":""Independent research/news"",""orientation"":""Independent / critical media research"",""language_english"":""English/Chinese / EN: Yes"",""official_status"":""No"",""topics"":[""Propaganda"",""media language"",""CCP discourse""],""youtube_url"":null,""value_access_notes"":""High-value Chinese state, commercial, business, technology, cyber, or independent monitoring source. Analysis-focused."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-003,What's on Weibo,China,en,news,active,high,https://www.whatsonweibo.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Independent media analysis"",""orientation"":""Independent"",""language_english"":""English/Chinese / EN: Yes"",""official_status"":""No"",""topics"":[""Chinese social media"",""trends"",""narratives""],""youtube_url"":null,""value_access_notes"":""High-value Chinese state, commercial, business, technology, cyber, or independent monitoring source. Curated/interpretive."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-004,ASPI / The Strategist,Indo-Pacific / Regional,en,research,active,high,https://www.aspistrategist.org.au/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""inventory_sections"":[""Think Tanks, Research Institutes & Universities""],""organization_type"":""Think tank"",""orientation"":""Security-focused policy institute"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""China"",""cyber"",""defense"",""Indo-Pacific""],""youtube_url"":null,""value_access_notes"":""High-value Indo-Pacific regional media, defense, think-tank, international-organization, or diplomatic source. Analysis/opinion."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-005,International Atomic Energy Agency (IAEA),Indo-Pacific / Regional,en,international_organization,active,high,https://www.iaea.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""inventory_sections"":[""International Organizations & Diplomatic Sources""],""organization_type"":""International organization"",""orientation"":""Official international organization"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official international/government institution"",""topics"":[""Nuclear safeguards"",""DPRK"",""nuclear energy"",""statements""],""youtube_url"":null,""value_access_notes"":""High-value Indo-Pacific regional media, defense, think-tank, international-organization, or diplomatic source."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-006,Lowy Institute / The Interpreter,Indo-Pacific / Regional,en,research,active,high,https://www.lowyinstitute.org/the-interpreter,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""inventory_sections"":[""Think Tanks, Research Institutes & Universities""],""organization_type"":""Think tank"",""orientation"":""Center / policy institute"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Indo-Pacific"",""China"",""Southeast Asia"",""diplomacy""],""youtube_url"":null,""value_access_notes"":""High-value Indo-Pacific regional media, defense, think-tank, international-organization, or diplomatic source. Feed health-check."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-007,Naval News,Indo-Pacific / Regional,en,news,active,critical,https://www.navalnews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""inventory_sections"":[""Defense, Military, Intelligence & Geopolitics""],""organization_type"":""Defense trade publication"",""orientation"":""Specialist / naval"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Navies"",""shipbuilding"",""missiles"",""Indo-Pacific""],""youtube_url"":""https://www.youtube.com/@NavalNews"",""value_access_notes"":""High-value Indo-Pacific regional media, defense, think-tank, international-organization, or diplomatic source. Some sponsored content."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-008,The Diplomat,Indo-Pacific / Regional,en,news,active,critical,https://thediplomat.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""inventory_sections"":[""Other High-Value Sources""],""organization_type"":""Regional digital magazine"",""orientation"":""Mainstream / regional affairs"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Asia-Pacific politics"",""defense"",""diplomacy""],""youtube_url"":null,""value_access_notes"":""High-value Indo-Pacific regional media, defense, think-tank, international-organization, or diplomatic source. Some premium content."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-009,Cabinet Office (内閣府),Japan,ja,government,active,critical,https://www.cao.go.jp/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Government ministry/office"",""orientation"":""Official"",""language_english"":""Japanese / EN: Yes"",""official_status"":""Yes - official Japanese government/institution"",""topics"":[""Cabinet policy"",""economy"",""surveys"",""disaster policy""],""youtube_url"":null,""value_access_notes"":""Primary-source Japanese executive, legislative, legal, defense, security, or law-enforcement information. PDF/legacy HTML or decentralized subpages may require targeted monitors."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-010,Ministry of Defense (防衛省),Japan,ja,government,active,critical,https://www.mod.go.jp/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Defense ministry"",""orientation"":""Official"",""language_english"":""Japanese / EN: Yes"",""official_status"":""Yes - official Japanese government/institution"",""topics"":[""Defense policy"",""procurement"",""operations"",""China/North Korea""],""youtube_url"":""https://www.youtube.com/@modchannel"",""value_access_notes"":""Primary-source Japanese executive, legislative, legal, defense, security, or law-enforcement information. PDF/legacy HTML or decentralized subpages may require targeted monitors."",""seed_batch"":""phase1-native-rss-v0.1""}"
