index,source_key,name,country,primary_language,source_type,status,priority,website_url,metadata_json
0,batcha-rss-001,Seoul Economic Daily (서울경제),South Korea,ko,news,active,high,https://www.sedaily.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Business & Financial News"",""Political News"",""Technology""],""topics"":[""economy"",""politics"",""technology"",""business""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
1,batcha-rss-002,Yonhap News Agency (연합뉴스),South Korea,ko,news_agency,active,critical,https://www.yna.co.kr/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Major National / Political News"",""North Korea Monitoring""],""topics"":[""politics"",""economy"",""North Korea"",""government""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
2,batcha-rss-003,Dong-A Ilbo (동아일보),South Korea,ko,news,active,critical,https://www.donga.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Major National / Political News"",""Business & Financial News""],""topics"":[""politics"",""economy"",""national affairs""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
3,batcha-rss-004,Korea Economic Daily / Hankyung (한국경제),South Korea,ko,news,active,high,https://www.hankyung.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Business & Financial News"",""Political News""],""topics"":[""economy"",""business"",""politics"",""markets""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
4,phase1-rss-037,Ministry of Foreign Affairs (外交部),Taiwan,zh-Hant,government,active,critical,https://www.mofa.gov.tw/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government, Foreign Affairs & Diplomacy""],""topics"":[""foreign affairs"",""diplomacy"",""cross-strait"",""international relations""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
5,phase1-rss-036,Mainland Affairs Council (大陸委員會),Taiwan,zh-Hant,government,active,critical,https://www.mac.gov.tw/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government, Cross-Strait Affairs""],""topics"":[""China"",""cross-strait"",""policy"",""national security""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
6,batcha-rss-007,Taiwan Today,Taiwan,en,government,active,high,https://taiwantoday.tw/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government / Official News""],""topics"":[""government"",""foreign affairs"",""defense"",""technology""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
7,phase1-rss-038,"Office of the President, Republic of China (Taiwan)",Taiwan,zh-Hant,government,active,critical,https://www.president.gov.tw/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government, Executive""],""topics"":[""presidency"",""national security"",""cross-strait"",""foreign affairs""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
8,batcha-rss-009,Interaksyon,Philippines,en,news,active,high,https://interaksyon.philstar.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Political / Digital News""],""topics"":[""politics"",""national affairs"",""technology"",""media""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
9,phase1-rss-019,GMA News Online,Philippines,en,news,active,critical,https://www.gmanetwork.com/news/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Major National / Political News"",""Regional & Local News"",""Business & Financial News""],""topics"":[""politics"",""nation"",""regions"",""metro"",""economy""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
10,batcha-rss-011,The Japan Times,Japan,en,news,active,critical,https://www.japantimes.co.jp/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""inventory_sections"":[""Major National / Political News""],""topics"":[""Japan politics"",""defense"",""foreign affairs"",""economy""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
11,batcha-rss-012,South China Morning Post,China,en,news,active,critical,https://www.scmp.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""inventory_sections"":[""China Politics"",""Diplomacy & Defence"",""Economy"",""Technology""],""topics"":[""China"",""CCP"",""PLA"",""Taiwan"",""US-China"",""economy"",""technology""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
12,batcha-rss-013,GovInfo,United States,en,government,active,critical,https://www.govinfo.gov/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Legislatures, Courts & Government Documents""],""topics"":[""Congress"",""legislation"",""hearings"",""Supreme Court"",""government publications""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
13,phase1-rss-048,Congress.gov,United States,en,government,active,critical,https://www.congress.gov/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Legislatures, Courts & Election Authorities""],""topics"":[""Congress"",""bills"",""House"",""Senate"",""legislation""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
14,phase1-rss-056,Politico,United States,en,news,active,critical,https://www.politico.com/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Major National / Political News"",""Defense"",""Cybersecurity"",""Trade""],""topics"":[""Congress"",""defense"",""cybersecurity"",""trade"",""politics""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
15,phase1-rss-052,Federal Bureau of Investigation,United States,en,government,active,high,https://www.fbi.gov/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Government, Security & Law Enforcement""],""topics"":[""counterintelligence"",""cyber"",""investigations"",""national security""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
16,batcha-rss-017,U.S. Navy,United States,en,government,active,critical,https://www.navy.mil/,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Defense, Military & Indo-Pacific""],""topics"":[""Navy"",""Indo-Pacific"",""China"",""operations"",""defense""],""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""candidate_provenance"":""user-hand-picked-and-verified""}"
