source_key,name,endpoint_type,url,status,poll_interval_seconds,metadata_json
phase1-rss-001,China Digital Times RSS,rss,https://chinadigitaltimes.net/feed/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://chinadigitaltimes.net/feed/""}"
phase1-rss-002,China Media Project RSS,rss,https://chinamediaproject.org/feed/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://chinamediaproject.org/feed/""}"
phase1-rss-003,What's on Weibo RSS,rss,https://www.whatsonweibo.com/feed/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""China""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.whatsonweibo.com/feed/""}"
phase1-rss-004,ASPI / The Strategist RSS,rss,https://www.aspistrategist.org.au/feed/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.aspistrategist.org.au/feed/""}"
phase1-rss-005,International Atomic Energy Agency (IAEA) RSS,rss,https://www.iaea.org/feeds/topnews,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.iaea.org/feeds/topnews""}"
phase1-rss-006,Lowy Institute / The Interpreter RSS,rss,https://www.lowyinstitute.org/the-interpreter/rss.xml,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.lowyinstitute.org/the-interpreter/rss.xml""}"
phase1-rss-007,Naval News RSS,rss,https://www.navalnews.com/feed/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.navalnews.com/feed/""}"
phase1-rss-008,The Diplomat RSS,rss,https://thediplomat.com/feed/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Indo-Pacific / Regional""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://thediplomat.com/feed/""}"
phase1-rss-009,Cabinet Office (内閣府) RSS,rss,https://www.cao.go.jp/rss/news.rdf,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.cao.go.jp/rss/news.rdf""}"
phase1-rss-010,Ministry of Defense (防衛省) RSS,rss,https://www.mod.go.jp/j/press/news/,disabled,900,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""verification_status"":""pending_health_check"",""seed_batch"":""phase1-native-rss-v0.1"",""original_feed_url"":""https://www.mod.go.jp/j/press/news/""}"
